thrower,thrower_x,thrower_y,receiver,receiver_x,receiver_y,turnover,start_on_offense,point_start_time,current_line,possession_num,possession_throw,game_quarter,quarter_point,point_timeouts,coming_from_recording_team_penalty,coming_from_opposing_team_penalty,is_home_team,home_team_score,away_team_score,gameID,home_teamID,away_teamID
jnissen,1.02,15.14,jmalks,-8.17,23.51,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,1,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jmalks,-8.17,23.51,jnissen,2.18,27.08,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,2,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,2.18,27.08,jmalks,-10.21,33.56,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,3,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jmalks,-10.21,33.56,jnissen,-3.94,26.79,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,4,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,-3.94,26.79,boort,12.96,36.26,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,5,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
boort,12.96,36.26,jmalks,1.74,34.44,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,6,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jmalks,1.74,34.44,jnissen,-9.33,33.13,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,7,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,-9.33,33.13,khealey,-5.4,45.07,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,8,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
khealey,-5.4,45.07,jnissen,-11.81,44.85,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,9,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,-11.81,44.85,cboxley,-0.08,44.34,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,10,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
cboxley,-0.08,44.34,mmcdonnel,7.94,47.98,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,11,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
mmcdonnel,7.94,47.98,cboxley,-1.03,49.95,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,12,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
cboxley,-1.03,49.95,jmalks,-11.88,57.74,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,13,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jmalks,-11.88,57.74,cboxley,-3.36,61.82,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,14,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
cboxley,-3.36,61.82,jnissen,-8.68,90.43,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,15,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,-8.68,90.43,cboxley,-2.41,87.37,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,16,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
cboxley,-2.41,87.37,jnissen,2.25,94.8,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,17,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
jnissen,2.25,94.8,tmonroe,-3.14,92.18,0,True,0.0,"['tmonroe', 'khealey', 'boort', 'mmcdonnel', 'jnissen', 'jmalks', 'cboxley']",1,18,1,0,0,0,0,False,0,0,2023-06-24-DC-BOS,glory,breeze
